absolute_position[mm],intensity[mW],scale,notes
9,1.70E-03,mW,Scale is the unit shown on the potentiometer. But all measurements in intensity are in mW.
9.4,5.00E-03,mW,
9.8,8.00E-03,mW,
10.2,1.29E-02,mW,
10.6,1.57E-02,mW,
11,1.97E-02,mW,
11.4,3.00E-02,mW,
11.8,1.00E-01,mW,
12.2,3.80E-01,mW,
12.6,6.00E-01,mW,
13,6.70E-01,mW,
13.4,7.20E-01,mW,
13.8,7.50E-01,mW,
14.2,7.60E-01,uW,
14.6,7.90E-01,uW,
15,8.00E-01,uW,
15.4,8.10E-01,uW,
15.8,8.20E-01,uW,
16.2,8.20E-01,uW,
16.6,8.20E-01,uW,
17,8.20E-01,uW,
